Name,depart_time,price,depart_time_hour,depart_time_minute
에어부산,06:50,39831,6,50
아시아나항공,06:50,89662,6,50
이스타항공,07:00,40339,7,0
대한항공,07:05,83729,7,5
에어부산,07:35,72712,7,35
대한항공,07:35,119662,7,35
제주항공,10:30,75933,10,30
에어부산,11:45,74577,11,45
에어부산,12:00,44916,12,0
제주항공,12:20,47119,12,20
에어부산,13:20,74577,13,20
아시아나항공,13:20,89662,13,20
대한항공,13:50,83729,13,50
제주항공,14:30,31356,14,30
에어부산,14:40,34068,14,40
아시아나항공,14:40,89662,14,40
에어부산,15:00,56780,15,0
아시아나항공,15:00,89662,15,0
제주항공,15:30,31356,15,30
제주항공,17:05,30678,17,5
에어부산,17:05,34068,17,5
아시아나항공,17:05,89662,17,5
에어부산,17:30,30509,17,30
아시아나항공,17:30,89662,17,30
에어부산,17:55,55085,17,55
아시아나항공,17:55,89662,17,55
대한항공,19:10,83729,19,10
제주항공,19:30,31356,19,30
에어부산,19:45,64407,19,45
