Name,depart_time,price,depart_time_hour,depart_time_minute
에어부산,06:50,54238,6,50
이스타항공,07:00,60000,7,0
대한항공,07:05,132034,7,5
에어부산,07:30,72712,7,30
에어부산,07:55,74577,7,55
에어부산,12:00,74577,12,0
제주항공,12:20,75933,12,20
에어부산,13:20,58645,13,20
아시아나항공,13:20,89662,13,20
대한항공,13:50,83729,13,50
제주항공,14:30,37628,14,30
에어부산,14:40,44407,14,40
아시아나항공,14:40,89662,14,40
에어부산,15:00,40678,15,0
아시아나항공,15:00,89662,15,0
대한항공,15:05,83729,15,5
제주항공,15:30,30678,15,30
대한항공,16:20,83729,16,20
제주항공,16:55,27458,16,55
제주항공,17:05,27458,17,5
에어부산,17:35,74407,17,35
에어부산,17:55,33051,17,55
아시아나항공,17:55,89662,17,55
대한항공,19:10,83729,19,10
제주항공,19:30,27458,19,30
