Name,depart_time,price,depart_time_hour,depart_time_minute
아시아나항공,06:50,144238,6,50
대한항공,07:05,130000,7,5
아시아나항공,07:20,144238,7,20
대한항공,07:35,130000,7,35
아시아나항공,07:55,144238,7,55
대한항공,10:10,116441,10,10
제주항공,10:30,49831,10,30
아시아나항공,11:45,130170,11,45
에어부산,11:45,216950,11,45
아시아나항공,12:00,130170,12,0
에어부산,12:00,216950,12,0
제주항공,12:20,57289,12,20
아시아나항공,13:20,130170,13,20
에어부산,13:20,216950,13,20
대한항공,13:50,116441,13,50
제주항공,14:30,53051,14,30
아시아나항공,14:40,130170,14,40
에어부산,14:40,216950,14,40
에어부산,15:00,216950,15,0
대한항공,15:10,116441,15,10
제주항공,15:30,53051,15,30
에어부산,17:00,216950,17,0
제주항공,17:05,78645,17,5
아시아나항공,17:55,130170,17,55
대한항공,18:30,116441,18,30
대한항공,19:10,116441,19,10
제주항공,19:30,83051,19,30
