Name,depart_time,price,depart_time_hour,depart_time_minute
대한항공,07:20,169831,7,20
아시아나항공,07:25,186780,7,25
아시아나항공,07:55,186780,7,55
대한항공,08:00,169831,8,0
아시아나항공,08:20,186780,8,20
대한항공,08:30,169831,8,30
대한항공,09:00,169831,9,0
대한항공,09:20,169831,9,20
티웨이항공,09:45,65933,9,45
이스타항공,09:50,66441,9,50
아시아나항공,09:50,127289,9,50
대한항공,10:05,155085,10,5
아시아나항공,10:15,127289,10,15
아시아나항공,10:40,127289,10,40
대한항공,10:40,155085,10,40
이스타항공,10:55,66441,10,55
대한항공,11:05,155085,11,5
아시아나항공,11:15,127289,11,15
에어부산,11:25,61865,11,25
제주항공,11:35,64916,11,35
티웨이항공,11:45,61526,11,45
이스타항공,11:50,62034,11,50
아시아나항공,11:50,127289,11,50
제주항공,12:15,60509,12,15
아시아나항공,12:20,127289,12,20
대한항공,12:20,155085,12,20
대한항공,12:30,155085,12,30
제주항공,12:40,56272,12,40
티웨이항공,12:50,53051,12,50
대한항공,12:50,155085,12,50
이스타항공,12:55,54068,12,55
대한항공,13:10,155085,13,10
이스타항공,13:15,54068,13,15
제주항공,13:15,56272,13,15
티웨이항공,13:20,53051,13,20
제주항공,13:30,56272,13,30
대한항공,13:40,155085,13,40
대한항공,13:50,155085,13,50
아시아나항공,14:00,124068,14,0
아시아나항공,14:05,124068,14,5
아시아나항공,14:25,124068,14,25
티웨이항공,14:35,53051,14,35
이스타항공,14:35,54068,14,35
대한항공,14:35,155085,14,35
제주항공,14:40,56272,14,40
대한항공,14:45,155085,14,45
에어부산,14:55,49323,14,55
아시아나항공,14:55,124068,14,55
아시아나항공,15:05,124068,15,5
티웨이항공,15:15,53051,15,15
제주항공,15:25,52034,15,25
이스타항공,15:40,50339,15,40
제주항공,15:45,56272,15,45
아시아나항공,15:45,124068,15,45
이스타항공,15:55,57797,15,55
대한항공,16:00,155085,16,0
제주항공,16:05,56272,16,5
이스타항공,16:35,66441,16,35
대한항공,16:40,155085,16,40
제주항공,16:55,69153,16,55
티웨이항공,17:25,57289,17,25
아시아나항공,17:50,124068,17,50
에어부산,18:10,53560,18,10
티웨이항공,18:10,57289,18,10
이스타항공,18:10,57797,18,10
제주항공,18:15,64916,18,15
대한항공,18:20,155085,18,20
티웨이항공,18:25,61526,18,25
아시아나항공,18:25,127289,18,25
이스타항공,18:35,62034,18,35
티웨이항공,18:50,61526,18,50
대한항공,18:50,155085,18,50
아시아나항공,18:55,127289,18,55
제주항공,19:05,69153,19,5
대한항공,19:10,155085,19,10
아시아나항공,19:20,172712,19,20
이스타항공,19:25,76102,19,25
제주항공,19:35,78645,19,35
이스타항공,19:45,81356,19,45
대한항공,20:00,155085,20,0
대한항공,20:30,155085,20,30
제주항공,20:35,97967,20,35
