Name,depart_time,price,depart_time_hour,depart_time_minute
아시아나항공,06:30,64577,6,30
대한항공,07:00,167119,7,0
티웨이항공,07:55,47797,7,55
아시아나항공,07:55,60170,7,55
이스타항공,08:10,41356,8,10
아시아나항공,08:20,55763,8,20
이스타항공,08:30,41356,8,30
티웨이항공,08:45,44577,8,45
아시아나항공,08:45,55763,8,45
이스타항공,08:50,44577,8,50
이스타항공,09:05,48814,9,5
대한항공,09:10,114916,9,10
아시아나항공,09:20,55763,9,20
에어부산,09:40,48984,9,40
아시아나항공,09:40,117967,9,40
제주항공,09:45,40848,9,45
이스타항공,09:50,41356,9,50
아시아나항공,09:50,55763,9,50
티웨이항공,10:00,44577,10,0
대한항공,10:10,114916,10,10
아시아나항공,10:20,55763,10,20
제주항공,10:35,45085,10,35
제주항공,10:50,43560,10,50
티웨이항공,11:05,42543,11,5
대한항공,11:10,114916,11,10
이스타항공,11:35,44577,11,35
티웨이항공,11:35,44577,11,35
제주항공,11:40,40848,11,40
티웨이항공,11:40,44577,11,40
대한항공,11:40,114916,11,40
대한항공,12:00,114916,12,0
제주항공,12:05,45085,12,5
아시아나항공,12:10,55763,12,10
티웨이항공,12:15,44577,12,15
제주항공,12:20,45085,12,20
아시아나항공,12:35,55763,12,35
이스타항공,12:45,44577,12,45
대한항공,12:50,114916,12,50
이스타항공,13:00,48814,13,0
에어부산,13:10,45255,13,10
아시아나항공,13:10,60848,13,10
제주항공,13:25,52034,13,25
이스타항공,13:30,44577,13,30
티웨이항공,13:30,48814,13,30
대한항공,13:45,114916,13,45
제주항공,14:00,60509,14,0
아시아나항공,14:10,64577,14,10
아시아나항공,14:20,64577,14,20
대한항공,14:30,114916,14,30
이스타항공,14:45,53051,14,45
이스타항공,14:55,57289,14,55
티웨이항공,15:05,59492,15,5
대한항공,15:10,114916,15,10
대한항공,15:20,114916,15,20
대한항공,15:40,114916,15,40
티웨이항공,15:50,59492,15,50
아시아나항공,15:50,87458,15,50
아시아나항공,15:55,79662,15,55
대한항공,16:10,114916,16,10
에어부산,16:20,58475,16,20
티웨이항공,16:20,62543,16,20
제주항공,16:25,71526,16,25
아시아나항공,16:25,87458,16,25
에어부산,16:35,62204,16,35
대한항공,16:40,114916,16,40
아시아나항공,16:55,79662,16,55
아시아나항공,17:00,87458,17,0
대한항공,17:00,114916,17,0
티웨이항공,17:05,62543,17,5
제주항공,17:20,66102,17,20
이스타항공,17:35,68136,17,35
아시아나항공,17:40,79662,17,40
제주항공,17:50,69153,17,50
이스타항공,18:05,62543,18,5
대한항공,18:05,114916,18,5
대한항공,18:15,114916,18,15
이스타항공,18:25,68136,18,25
제주항공,18:40,71526,18,40
아시아나항공,19:00,91526,19,0
대한항공,19:00,114916,19,0
에어부산,19:20,69323,19,20
티웨이항공,19:25,65933,19,25
아시아나항공,19:30,79662,19,30
이스타항공,19:45,62543,19,45
아시아나항공,19:50,64577,19,50
대한항공,19:50,114916,19,50
티웨이항공,19:55,62543,19,55
제주항공,20:00,66102,20,0
에어부산,20:10,63560,20,10
아시아나항공,20:20,64577,20,20
이스타항공,20:25,62543,20,25
티웨이항공,20:30,62543,20,30
대한항공,20:30,114916,20,30
제주항공,20:50,60509,20,50
아시아나항공,20:50,64577,20,50
대한항공,20:50,114916,20,50
아시아나항공,20:55,60848,20,55
제주항공,21:05,57797,21,5
대한항공,21:05,114916,21,5
제주항공,21:10,60509,21,10
이스타항공,21:15,62543,21,15
제주항공,21:20,62034,21,20
